,country,resort,hotel,price,distance_from_lift_(m),altitude (m),totalPiste (km),totalLifts,gondolas,chairlifts,draglifts,blues,reds,blacks,totalRuns,link,sleeps,decSnowLow2020(cm),decSnowHigh2020(cm),janSnowLow2020(cm),janSnowHigh2020(cm),febSnowLow2020(cm),febSnowHigh2020(cm)
347,france,val-thorens,hotel-marielle,1419,100,2300,600,183,40,69,74,183.0,106.0,32.0,321.0,https://www.igluski.com/ski-resorts/france/val-thorens/hotel-marielle_39576?holidayId=58510816,150,98,121,215,267,207,269
348,austria,st-anton,hotel-alpenhof,1420,1000,1304,305,88,15,45,28,130.0,123.0,51.0,304.0,https://www.igluski.com/ski-resorts/austria/st-anton/hotel-alpenhof_4143?holidayId=58538506,60,35,45,110,138,102,168
349,austria,st-anton,hotel-galzig,1424,unknown,1304,305,88,15,45,28,130.0,123.0,51.0,304.0,https://www.igluski.com/ski-resorts/austria/st-anton/hotel-galzig_36741?holidayId=58469877,unknown,35,45,110,138,102,168
350,austria,zurs-am-arlberg,hotel-arlberghaus,1426,unknown,1700,276,85,10,39,36,0.0,0.0,0.0,0.0,https://www.igluski.com/ski-resorts/austria/zurs-am-arlberg/hotel-arlberghaus_7218?holidayId=58417282,100,35,45,110,138,102,168
351,austria,st-anton,hotel-arlberg,1427,150,1304,305,88,15,45,28,130.0,123.0,51.0,304.0,https://www.igluski.com/ski-resorts/austria/st-anton/hotel-arlberg_1292?holidayId=58375249,156,35,45,110,138,102,168
352,austria,bad-hofgastein,hotel-das-alpenhaus,1429,650,870,208,49,11,19,18,16.0,38.0,6.0,60.0,https://www.igluski.com/ski-resorts/austria/bad-hofgastein/hotel-das-alpenhaus_36820?holidayId=58400592,180,0,100,48,155,45,176
353,austria,nassfeld,falkensteiner-hotel--spa-carinzia,1432,50,610,110,30,5,7,18,5.0,18.0,6.0,29.0,https://www.igluski.com/ski-resorts/austria/nassfeld/falkensteiner-hotel--spa-carinzia_37096?holidayId=58207766,350,0,120,0,100,0,100
354,austria,obergurgl,hotel-austria,1460,200,1930,110,24,3,12,9,16.0,18.0,6.0,40.0,https://www.igluski.com/ski-resorts/austria/obergurgl/hotel-austria_27630?holidayId=58209549,106,100,185,69,143,60,133
355,austria,obergurgl,hotel-bellevue,1460,300,1930,110,24,3,12,9,16.0,18.0,6.0,40.0,https://www.igluski.com/ski-resorts/austria/obergurgl/hotel-bellevue_7116?holidayId=58208009,84,100,185,69,143,60,133
356,austria,st-anton,hotel-rundeck,1467,400,1304,305,88,15,45,28,130.0,123.0,51.0,304.0,https://www.igluski.com/ski-resorts/austria/st-anton/hotel-rundeck_27267?holidayId=58460736,55,35,45,110,138,102,168
357,france,courchevel-1850,hotel-les-sherpas,1471,unknown,1850,150,67,12,17,29,27.0,82.0,10.0,119.0,https://www.igluski.com/ski-resorts/france/courchevel-1850/hotel-les-sherpas_20479?holidayId=58489789,80,unknown,unknown,unknown,unknown,unknown,unknown
358,france,val-thorens,fahrenheit-7-hotel,1486,100,2300,600,183,40,69,74,183.0,106.0,32.0,321.0,https://www.igluski.com/ski-resorts/france/val-thorens/fahrenheit-7-hotel_36347?holidayId=58511979,208,98,121,215,267,207,269
359,france,tignes-val-claret,les-suites-maison-bouvier,1493,100,2100,300,89,10,45,34,83.0,46.0,25.0,154.0,https://www.igluski.com/ski-resorts/france/tignes-val-claret/les-suites-maison-bouvier_39303?holidayId=58207859,150,unknown,unknown,unknown,unknown,unknown,unknown
360,france,les-deux-alpes,hotel-chalet-mounier,1499,100,1651,220,43,4,17,18,14.0,49.0,22.0,85.0,https://www.igluski.com/ski-resorts/france/les-deux-alpes/hotel-chalet-mounier_3263?holidayId=58207910,86,25,100,40,200,40,200
361,austria,mayrhofen,elisabethhotel,1504,unknown,630,600,52,8,27,17,43.0,75.0,15.0,133.0,https://www.igluski.com/ski-resorts/austria/mayrhofen/elisabethhotel_37515?holidayId=59410060,75,0,60,5,80,2,99
362,france,meribel,hotel-l-eterlou,1507,50,1450,600,183,40,69,74,186.0,107.0,35.0,328.0,https://www.igluski.com/ski-resorts/france/meribel/hotel-l-eterlou_967?holidayId=58507037,49,98,121,215,267,207,269
363,austria,lech,hotel-omesberg,1515,unknown,1450,305,85,10,39,36,34.0,70.0,30.0,134.0,https://www.igluski.com/ski-resorts/austria/lech/hotel-omesberg_15464?holidayId=58370562,65,35,45,110,138,102,168
364,austria,saalbach,hotel-saalbacherhof,1518,50,1003,270,70,28,22,20,140.0,110.0,20.0,270.0,https://www.igluski.com/ski-resorts/austria/saalbach/hotel-saalbacherhof_2027?holidayId=58202560,180,5,50,50,133,46,140
365,austria,saalbach,bauer-hotel,1542,100,1003,270,70,28,22,20,140.0,110.0,20.0,270.0,https://www.igluski.com/ski-resorts/austria/saalbach/bauer-hotel_1331?holidayId=58542901,70,5,50,50,133,46,140
366,austria,saalbach,hotel-sonne,1546,1000,1003,270,70,28,22,20,140.0,110.0,20.0,270.0,https://www.igluski.com/ski-resorts/austria/saalbach/hotel-sonne_7552?holidayId=58205385,134,5,50,50,133,46,140
367,austria,obergurgl,hotel-josl,1547,unknown,1930,110,24,3,12,9,16.0,18.0,6.0,40.0,https://www.igluski.com/ski-resorts/austria/obergurgl/hotel-josl_22710?holidayId=58196011,84,100,185,69,143,60,133
368,austria,kitzbuhel,hotel-schwarzer-adler-wellness,1560,300,760,185,61,11,27,15,29.0,27.0,11.0,67.0,https://www.igluski.com/ski-resorts/austria/kitzbuhel/hotel-schwarzer-adler-wellness_4353?holidayId=58209895,169,unknown,unknown,unknown,unknown,unknown,unknown
369,italy,selva-val-gardena,hotel-tyrol,1562,50,1563,175,81,9,41,31,32.0,23.0,4.0,59.0,https://www.igluski.com/ski-resorts/italy/selva-val-gardena/hotel-tyrol_2544?holidayId=58210484,100,72,165,50,150,49,149
370,austria,zurs-am-arlberg,hotel-erzberg,1569,100,1700,276,85,10,39,36,0.0,0.0,0.0,0.0,https://www.igluski.com/ski-resorts/austria/zurs-am-arlberg/hotel-erzberg_30991?holidayId=58511508,unknown,35,45,110,138,102,168
371,austria,obertauern,valamar-obertauern,1576,unknown,1738,95,26,1,19,6,22.0,22.0,6.0,50.0,https://www.igluski.com/ski-resorts/austria/obertauern/valamar-obertauern_4084?holidayId=58493164,104,40,70,153,193,175,215
