,country,resort,hotel,price,distance_from_lift_(m),altitude (m),totalPiste (km),totalLifts,gondolas,chairlifts,draglifts,blues,reds,blacks,totalRuns,link,sleeps,decSnowLow2020(cm),decSnowHigh2020(cm),janSnowLow2020(cm),janSnowHigh2020(cm),febSnowLow2020(cm),febSnowHigh2020(cm)
0,italy,bardonecchia,residence-tabor,550,unknown,1312,140,23,0,9,14,17.0,24.0,1.0,42.0,https://www.igluski.com/ski-resorts/italy/bardonecchia/residence-tabor_38648?holidayId=58413613,unknown,70,170,60,200,47,177
1,italy,bardonecchia,residence-villa-frejus,561,unknown,1312,140,23,0,9,14,17.0,24.0,1.0,42.0,https://www.igluski.com/ski-resorts/italy/bardonecchia/residence-villa-frejus_38647?holidayId=58464837,unknown,70,170,60,200,47,177
2,bulgaria,bansko,hotel-mura,566,1100,935,70,24,1,7,16,5.0,8.0,1.0,14.0,https://www.igluski.com/ski-resorts/bulgaria/bansko/hotel-mura_20914?holidayId=58542822,140,0,70,5,75,5,77
3,bulgaria,borovets,hotel-samokov,574,75,1390,58,18,1,4,13,1.0,13.0,1.0,15.0,https://www.igluski.com/ski-resorts/bulgaria/borovets/hotel-samokov_1092?holidayId=58456610,590,0,0,160,200,194,246
4,bulgaria,bansko,hotel-lion---bansko,596,800,935,70,24,1,7,16,5.0,8.0,1.0,14.0,https://www.igluski.com/ski-resorts/bulgaria/bansko/hotel-lion---bansko_20625?holidayId=58322886,386,0,70,5,75,5,77
5,andorra,arinsal,hotel-xalet-besoli,597,500,1550,63,30,2,11,13,22.0,16.0,4.0,42.0,https://www.igluski.com/ski-resorts/andorra/arinsal/hotel-xalet-besoli_2446?holidayId=58503135,66,30,60,130,180,120,170
6,austria,mayrhofen,hotel-obermair,601,600,630,600,52,8,27,17,43.0,75.0,15.0,133.0,https://www.igluski.com/ski-resorts/austria/mayrhofen/hotel-obermair_1829?holidayId=58408829,60,0,60,5,80,2,99
7,bulgaria,borovets,hotel-lion-borovets,603,1200,1390,58,18,1,4,13,1.0,13.0,1.0,15.0,https://www.igluski.com/ski-resorts/bulgaria/borovets/hotel-lion-borovets_20502?holidayId=58429096,314,0,0,160,200,194,246
8,andorra,arinsal,hotel-xalet-verdu,606,300,1550,63,30,2,11,13,22.0,16.0,4.0,42.0,https://www.igluski.com/ski-resorts/andorra/arinsal/hotel-xalet-verdu_1602?holidayId=58515499,104,30,60,130,180,120,170
9,andorra,arinsal,hotel-patagonia,632,100,1550,63,30,2,11,13,22.0,16.0,4.0,42.0,https://www.igluski.com/ski-resorts/andorra/arinsal/hotel-patagonia_7184?holidayId=58452151,160,30,60,130,180,120,170
10,andorra,arinsal,hotel-palarine,635,1000,1550,63,30,2,11,13,22.0,16.0,4.0,42.0,https://www.igluski.com/ski-resorts/andorra/arinsal/hotel-palarine_4470?holidayId=58524575,72,30,60,130,180,120,170
11,italy,canazei,hotel-cesa-rotic,642,500,1460,120,58,9,28,21,30.0,41.0,3.0,74.0,https://www.igluski.com/ski-resorts/italy/canazei/hotel-cesa-rotic_32288?holidayId=58453515,24,50,160,50,120,50,120
12,andorra,arinsal,hotel-montane,658,40,1550,63,30,2,11,13,22.0,16.0,4.0,42.0,https://www.igluski.com/ski-resorts/andorra/arinsal/hotel-montane_6327?holidayId=58468586,54,30,60,130,180,120,170
13,italy,courmayeur,hotel-dei-camosci,662,unknown,1224,100,16,5,8,3,6.0,12.0,4.0,22.0,https://www.igluski.com/ski-resorts/italy/courmayeur/hotel-dei-camosci_3592?holidayId=58507295,50,40,100,40,100,41,117
14,austria,alpbach,pension-furstenhof,662,unknown,1000,145,47,7,8,31,24.0,34.0,11.0,69.0,https://www.igluski.com/ski-resorts/austria/alpbach/pension-furstenhof_1267?holidayId=58495260,24,0,0,50,106,48,114
15,bulgaria,bansko,hotel-tanne,677,600,935,70,24,1,7,16,5.0,8.0,1.0,14.0,https://www.igluski.com/ski-resorts/bulgaria/bansko/hotel-tanne_22712?holidayId=58470269,70,0,70,5,75,5,77
16,bulgaria,bansko,hotel-strazhite,677,300,935,70,24,1,7,16,5.0,8.0,1.0,14.0,https://www.igluski.com/ski-resorts/bulgaria/bansko/hotel-strazhite_18508?holidayId=58467406,304,0,70,5,75,5,77
17,italy,selva-val-gardena,garni-romantica,681,720,1563,175,81,9,41,31,32.0,23.0,4.0,59.0,https://www.igluski.com/ski-resorts/italy/selva-val-gardena/garni-romantica_40758?holidayId=58515303,100,72,165,50,150,49,149
18,andorra,pas-de-la-casa,hotel-de-les-pistes,689,unknown,2050,193,63,4,28,26,40.0,37.0,23.0,100.0,https://www.igluski.com/ski-resorts/andorra/pas-de-la-casa/hotel-de-les-pistes_30905?holidayId=58467988,48,15,40,80,165,52,140
19,italy,sauze-d-oulx,hotel-clotes,692,100,1503,400,89,0,35,54,31.0,97.0,32.0,160.0,https://www.igluski.com/ski-resorts/italy/sauze-d-oulx/hotel-clotes_36709?holidayId=58504633,unknown,150,220,35,300,96,280
20,italy,passo-tonale,hotel-cielo-blu,694,unknown,1883,100,30,3,19,8,11.0,15.0,4.0,30.0,https://www.igluski.com/ski-resorts/italy/passo-tonale/hotel-cielo-blu_4187?holidayId=58546106,58,30,400,30,400,30,400
21,italy,courmayeur,hotel-del-viale,695,unknown,1224,100,16,5,8,3,6.0,12.0,4.0,22.0,https://www.igluski.com/ski-resorts/italy/courmayeur/hotel-del-viale_1079?holidayId=58493357,46,40,100,40,100,41,117
22,italy,sauze-d-oulx,hotel-martin,695,unknown,1503,400,89,0,35,54,31.0,97.0,32.0,160.0,https://www.igluski.com/ski-resorts/italy/sauze-d-oulx/hotel-martin_4856?holidayId=58509432,35,150,220,35,300,96,280
23,bulgaria,bansko,st-ivan-rilski-hotel-spa--apartments,698,1200,935,70,24,1,7,16,5.0,8.0,1.0,14.0,https://www.igluski.com/ski-resorts/bulgaria/bansko/st-ivan-rilski-hotel-spa--apartments_27205?holidayId=58470151,unknown,0,70,5,75,5,77
24,italy,la-thuile,hotel-du-glacier,700,750,1441,150,36,1,16,19,13.0,14.0,6.0,33.0,https://www.igluski.com/ski-resorts/italy/la-thuile/hotel-du-glacier_3779?holidayId=58400411,38,15,90,190,225,174,263
25,andorra,pas-de-la-casa,hotel-grand-pas,701,unknown,2050,193,63,4,28,26,40.0,37.0,23.0,100.0,https://www.igluski.com/ski-resorts/andorra/pas-de-la-casa/hotel-grand-pas_39187?holidayId=58449666,unknown,15,40,80,165,52,140
26,austria,rauris,hotel-wieshof,701,150,950,25,10,2,1,5,7.0,3.0,1.0,11.0,https://www.igluski.com/ski-resorts/austria/rauris/hotel-wieshof_39268?holidayId=58376742,42,0,0,61,151,58,163
27,andorra,pas-de-la-casa,hotel-meta,702,500,2050,193,63,4,28,26,40.0,37.0,23.0,100.0,https://www.igluski.com/ski-resorts/andorra/pas-de-la-casa/hotel-meta_39572?holidayId=58386839,unknown,15,40,80,165,52,140
28,austria,bad-hofgastein,apartments-aurora,704,unknown,870,208,49,11,19,18,16.0,38.0,6.0,60.0,https://www.igluski.com/ski-resorts/austria/bad-hofgastein/apartments-aurora_38020?holidayId=58540374,unknown,0,100,48,155,45,176
29,italy,bardonecchia,hotel-ca-fiore,712,unknown,1312,140,23,0,9,14,17.0,24.0,1.0,42.0,https://www.igluski.com/ski-resorts/italy/bardonecchia/hotel-ca-fiore_22811?holidayId=58518566,74,70,170,60,200,47,177
30,austria,niederau-oberau,enzian-guesthouse,718,unknown,826,48,47,7,8,31,24.0,34.0,11.0,69.0,https://www.igluski.com/ski-resorts/austria/niederau-oberau/enzian-guesthouse_30864?holidayId=58315218,32,0,0,50,106,48,114
31,france,chamonix,hotel-richemond,721,400,1035,762,64,13,18,32,51.0,190.0,21.0,262.0,https://www.igluski.com/ski-resorts/france/chamonix/hotel-richemond_31178?holidayId=58540958,3,0,0,0,130,0,130
32,andorra,pas-de-la-casa,hotel-cubil,724,150,2050,193,63,4,28,26,40.0,37.0,23.0,100.0,https://www.igluski.com/ski-resorts/andorra/pas-de-la-casa/hotel-cubil_34906?holidayId=58479549,unknown,15,40,80,165,52,140
33,italy,val-di-fassa,hotel-regina-e-fassa-mazzin,729,600,1460,120,58,9,28,21,30.0,41.0,3.0,74.0,https://www.igluski.com/ski-resorts/italy/val-di-fassa/hotel-regina-e-fassa-mazzin_40698?holidayId=58464997,100,50,160,50,120,50,120
34,finland,yllas,hotel-akashotelli,731,unknown,719,0,29,1,1,0,33.0,24.0,6.0,63.0,https://www.igluski.com/ski-resorts/finland/yllas/hotel-akashotelli_27545?holidayId=58346772,55,40,65,85,85,85,85
35,italy,passo-tonale,hotel-locanda-locatori,731,700,1883,100,30,3,19,8,11.0,15.0,4.0,30.0,https://www.igluski.com/ski-resorts/italy/passo-tonale/hotel-locanda-locatori_32292?holidayId=58447281,72,30,400,30,400,30,400
36,italy,passo-tonale,hotel-orchidea,734,unknown,1883,100,30,3,19,8,11.0,15.0,4.0,30.0,https://www.igluski.com/ski-resorts/italy/passo-tonale/hotel-orchidea_3604?holidayId=58479330,54,30,400,30,400,30,400
37,austria,soll,guesthouse-erhart,734,unknown,703,250,94,11,38,44,63.0,57.0,8.0,128.0,https://www.igluski.com/ski-resorts/austria/soll/guesthouse-erhart_18917?holidayId=58354436,12,0,25,33,76,48,85
38,austria,kaprun,pension-elisabeth,735,unknown,775,132,56,12,17,27,31.0,19.0,9.0,59.0,https://www.igluski.com/ski-resorts/austria/kaprun/pension-elisabeth_38119?holidayId=58419520,unknown,0,130,33,188,39,235
39,finland,pyha,pyha-suites,737,unknown,280,80,9,0,0,0,8.0,4.0,2.0,14.0,https://www.igluski.com/ski-resorts/finland/pyha/pyha-suites_26103?holidayId=58529063,4,40,50,60,70,64,74
40,austria,mayrhofen,pension-valentina,740,100,630,600,52,8,27,17,43.0,75.0,15.0,133.0,https://www.igluski.com/ski-resorts/austria/mayrhofen/pension-valentina_36850?holidayId=58420555,unknown,0,60,5,80,2,99
41,austria,soll,hotel-garni-sonnenhof,744,unknown,703,250,94,11,38,44,63.0,57.0,8.0,128.0,https://www.igluski.com/ski-resorts/austria/soll/hotel-garni-sonnenhof_1346?holidayId=58340113,24,0,25,33,76,48,85
42,italy,pila,hotel-plan-bois,746,100,1800,70,12,2,9,1,5.0,22.0,3.0,30.0,https://www.igluski.com/ski-resorts/italy/pila/hotel-plan-bois_32327?holidayId=58530208,62,65,150,65,150,65,150
43,italy,passo-tonale,hotel-savoia,748,unknown,1883,100,30,3,19,8,11.0,15.0,4.0,30.0,https://www.igluski.com/ski-resorts/italy/passo-tonale/hotel-savoia_3436?holidayId=58448193,unknown,30,400,30,400,30,400
44,italy,madonna-di-campiglio,italo-hotel,748,unknown,1550,150,47,9,29,9,21.0,13.0,4.0,38.0,https://www.igluski.com/ski-resorts/italy/madonna-di-campiglio/italo-hotel_27661?holidayId=58459422,56,79,187,60,160,60,149
45,italy,sauze-d-oulx,hotel-la-torre,751,300,1503,400,89,0,35,54,31.0,97.0,32.0,160.0,https://www.igluski.com/ski-resorts/italy/sauze-d-oulx/hotel-la-torre_3585?holidayId=58531117,228,150,220,35,300,96,280
46,andorra,soldeu,hotel-euroski,752,500,1800,210,67,4,32,26,63.0,38.0,22.0,123.0,https://www.igluski.com/ski-resorts/andorra/soldeu/hotel-euroski_32498?holidayId=58468256,298,unknown,unknown,unknown,unknown,unknown,unknown
47,andorra,soldeu,soldeu-maistre,754,150,1800,210,67,4,32,26,63.0,38.0,22.0,123.0,https://www.igluski.com/ski-resorts/andorra/soldeu/soldeu-maistre_18981?holidayId=58306591,94,unknown,unknown,unknown,unknown,unknown,unknown
48,austria,kaprun,pension-austria,754,unknown,775,132,56,12,17,27,31.0,19.0,9.0,59.0,https://www.igluski.com/ski-resorts/austria/kaprun/pension-austria_38103?holidayId=58476229,50,0,130,33,188,39,235
49,bulgaria,bansko,boutique-hotel-amira,755,300,935,70,24,1,7,16,5.0,8.0,1.0,14.0,https://www.igluski.com/ski-resorts/bulgaria/bansko/boutique-hotel-amira_39168?holidayId=58544648,unknown,0,70,5,75,5,77
50,france,serre-chevalier,hotel-vauban,757,200,1350,250,74,9,19,46,53.0,43.0,15.0,111.0,https://www.igluski.com/ski-resorts/france/serre-chevalier/hotel-vauban_36911?holidayId=58481580,unknown,0,200,75,250,43,231
51,bulgaria,pamporovo,hotel-perelik,758,unknown,1650,18,19,0,6,13,5.0,5.0,4.0,14.0,https://www.igluski.com/ski-resorts/bulgaria/pamporovo/hotel-perelik_2703?holidayId=58417429,424,0,0,60,85,166,170
52,austria,kaprun,pension-bergheil,758,unknown,775,132,56,12,17,27,31.0,19.0,9.0,59.0,https://www.igluski.com/ski-resorts/austria/kaprun/pension-bergheil_38098?holidayId=58505745,unknown,0,130,33,188,39,235
53,finland,levi,hotel-sirkantahti,758,unknown,200,44,27,2,2,14,19.0,22.0,2.0,43.0,https://www.igluski.com/ski-resorts/finland/levi/hotel-sirkantahti_39150?holidayId=58303783,unknown,35,45,65,75,90,115
54,italy,canazei,hotel-villa-emma,758,900,1460,120,58,9,28,21,30.0,41.0,3.0,74.0,https://www.igluski.com/ski-resorts/italy/canazei/hotel-villa-emma_36728?holidayId=58545422,unknown,50,160,50,120,50,120
55,austria,niederau-oberau,hotel-austria,761,unknown,826,48,47,7,8,31,24.0,34.0,11.0,69.0,https://www.igluski.com/ski-resorts/austria/niederau-oberau/hotel-austria_2108?holidayId=58466656,94,0,0,50,106,48,114
56,italy,passo-tonale,hotel-piandineve,761,unknown,1883,100,30,3,19,8,11.0,15.0,4.0,30.0,https://www.igluski.com/ski-resorts/italy/passo-tonale/hotel-piandineve_5313?holidayId=58521441,282,30,400,30,400,30,400
57,italy,pila,hotel-chacaril,765,unknown,1800,70,12,2,9,1,5.0,22.0,3.0,30.0,https://www.igluski.com/ski-resorts/italy/pila/hotel-chacaril_313?holidayId=58512710,50,65,150,65,150,65,150
58,italy,madonna-di-campiglio,hotel-cristiania,768,unknown,1550,150,47,9,29,9,21.0,13.0,4.0,38.0,https://www.igluski.com/ski-resorts/italy/madonna-di-campiglio/hotel-cristiania_27662?holidayId=58543318,76,79,187,60,160,60,149
59,andorra,pas-de-la-casa,hotel-catalunya,768,unknown,2050,193,63,4,28,26,40.0,37.0,23.0,100.0,https://www.igluski.com/ski-resorts/andorra/pas-de-la-casa/hotel-catalunya_36701?holidayId=58538398,unknown,15,40,80,165,52,140
60,austria,zell-am-see,hotel-seehof,771,unknown,758,136,55,13,18,24,31.0,19.0,9.0,59.0,https://www.igluski.com/ski-resorts/austria/zell-am-see/hotel-seehof_38141?holidayId=58429927,unknown,0,58,43,147,46,150
61,finland,ruka,hotel-rukahovi,771,unknown,291,24,26,0,5,0,16.0,14.0,4.0,34.0,https://www.igluski.com/ski-resorts/finland/ruka/hotel-rukahovi_19936?holidayId=58444184,326,24,40,80,80,86,86
62,andorra,soldeu,hotel-galanthus,772,unknown,1800,210,67,4,32,26,63.0,38.0,22.0,123.0,https://www.igluski.com/ski-resorts/andorra/soldeu/hotel-galanthus_27271?holidayId=58834847,unknown,unknown,unknown,unknown,unknown,unknown,unknown
63,bulgaria,pamporovo,hotel-orlovetz,772,3000,1650,18,19,0,6,13,5.0,5.0,4.0,14.0,https://www.igluski.com/ski-resorts/bulgaria/pamporovo/hotel-orlovetz_20365?holidayId=58274109,210,0,0,60,85,166,170
64,france,chamonix,la-folie-douce-hotel,773,200,1035,762,64,13,18,32,51.0,190.0,21.0,262.0,https://www.igluski.com/ski-resorts/france/chamonix/la-folie-douce-hotel_36783?holidayId=58886508,unknown,0,0,0,130,0,130
65,italy,sauze-d-oulx,hotel-gran-baita,774,unknown,1503,400,89,0,35,54,31.0,97.0,32.0,160.0,https://www.igluski.com/ski-resorts/italy/sauze-d-oulx/hotel-gran-baita_2538?holidayId=58517038,72,150,220,35,300,96,280
66,italy,sauze-d-oulx,hotel-sauze,774,unknown,1503,400,89,0,35,54,31.0,97.0,32.0,160.0,https://www.igluski.com/ski-resorts/italy/sauze-d-oulx/hotel-sauze_3413?holidayId=58486592,62,150,220,35,300,96,280
67,italy,pila,hotel-etoile-de-neige,776,unknown,1800,70,12,2,9,1,5.0,22.0,3.0,30.0,https://www.igluski.com/ski-resorts/italy/pila/hotel-etoile-de-neige_427?holidayId=58321260,100,65,150,65,150,65,150
68,austria,rauris,hotel-kristall,778,unknown,950,25,10,2,1,5,7.0,3.0,1.0,11.0,https://www.igluski.com/ski-resorts/austria/rauris/hotel-kristall_6417?holidayId=58414090,130,0,0,61,151,58,163
69,italy,sestriere,hotel-savoy-edelweiss,778,unknown,2035,400,94,5,35,54,43.0,73.0,30.0,146.0,https://www.igluski.com/ski-resorts/italy/sestriere/hotel-savoy-edelweiss_3844?holidayId=58542754,60,150,220,35,300,96,280
70,austria,kitzbuhel,hotel-bruggerhof,783,2000,760,185,61,11,27,15,29.0,27.0,11.0,67.0,https://www.igluski.com/ski-resorts/austria/kitzbuhel/hotel-bruggerhof_1265?holidayId=58492698,56,unknown,unknown,unknown,unknown,unknown,unknown
71,italy,folgarida,park-hotel,783,unknown,1300,50,25,5,15,5,18.0,8.0,4.0,30.0,https://www.igluski.com/ski-resorts/italy/folgarida/park-hotel_30823?holidayId=58492837,240,unknown,unknown,unknown,unknown,unknown,unknown
72,france,serre-chevalier,residence-aquisana,785,500,1350,250,74,9,19,46,53.0,43.0,15.0,111.0,https://www.igluski.com/ski-resorts/france/serre-chevalier/residence-aquisana_36473?holidayId=58318763,100,0,200,75,250,43,231
73,finland,yllas,yllas-saaga-spa-hotel,785,unknown,719,0,29,1,1,0,33.0,24.0,6.0,63.0,https://www.igluski.com/ski-resorts/finland/yllas/yllas-saaga-spa-hotel_26009?holidayId=58283788,168,40,65,85,85,85,85
74,italy,campitello,hotel-grohmann,789,300,1448,17,9,2,5,2,3.0,4.0,1.0,8.0,https://www.igluski.com/ski-resorts/italy/campitello/hotel-grohmann_6951?holidayId=58509880,120,unknown,unknown,unknown,unknown,unknown,unknown
75,italy,sauze-d-oulx,hotel-splendid,791,500,1503,400,89,0,35,54,31.0,97.0,32.0,160.0,https://www.igluski.com/ski-resorts/italy/sauze-d-oulx/hotel-splendid_3412?holidayId=58519128,72,150,220,35,300,96,280
76,italy,sauze-d-oulx,hotel-k2,791,200,1503,400,89,0,35,54,31.0,97.0,32.0,160.0,https://www.igluski.com/ski-resorts/italy/sauze-d-oulx/hotel-k2_36708?holidayId=58541614,unknown,150,220,35,300,96,280
77,austria,niederau-oberau,hotel-simmerlwirt,795,unknown,826,48,47,7,8,31,24.0,34.0,11.0,69.0,https://www.igluski.com/ski-resorts/austria/niederau-oberau/hotel-simmerlwirt_37903?holidayId=58521822,unknown,0,0,50,106,48,114
78,italy,courmayeur,hotel-courmayeur,795,unknown,1224,100,16,5,8,3,6.0,12.0,4.0,22.0,https://www.igluski.com/ski-resorts/italy/courmayeur/hotel-courmayeur_3415?holidayId=58503824,70,40,100,40,100,41,117
79,italy,val-di-fassa,hotel-arnika,801,480,1460,120,58,9,28,21,30.0,41.0,3.0,74.0,https://www.igluski.com/ski-resorts/italy/val-di-fassa/hotel-arnika_40759?holidayId=58503222,150,50,160,50,120,50,120
80,italy,val-di-fassa,hotel-sas-morin,801,unknown,1460,120,58,9,28,21,30.0,41.0,3.0,74.0,https://www.igluski.com/ski-resorts/italy/val-di-fassa/hotel-sas-morin_20887?holidayId=58521459,50,50,160,50,120,50,120
81,france,brides-les-bains,hotel-vanoise,804,unknown,600,600,198,43,68,87,46.0,209.0,35.0,290.0,https://www.igluski.com/ski-resorts/france/brides-les-bains/hotel-vanoise_7419?holidayId=58487140,unknown,98,121,215,267,207,269
82,andorra,pas-de-la-casa,hotel-camellot,804,200,2050,193,63,4,28,26,40.0,37.0,23.0,100.0,https://www.igluski.com/ski-resorts/andorra/pas-de-la-casa/hotel-camellot_36843?holidayId=58394657,unknown,15,40,80,165,52,140
83,austria,niederau-oberau,hotel-harfenwirt,806,150,826,48,47,7,8,31,24.0,34.0,11.0,69.0,https://www.igluski.com/ski-resorts/austria/niederau-oberau/hotel-harfenwirt_2112?holidayId=58463596,176,0,0,50,106,48,114
84,italy,cervinia,hotel-furggen,812,unknown,2050,350,56,21,21,12,30.0,75.0,26.0,131.0,https://www.igluski.com/ski-resorts/italy/cervinia/hotel-furggen_1748?holidayId=58520223,70,27,106,64,147,55,208
85,andorra,pas-de-la-casa,hotel-guineu,814,unknown,2050,193,63,4,28,26,40.0,37.0,23.0,100.0,https://www.igluski.com/ski-resorts/andorra/pas-de-la-casa/hotel-guineu_38972?holidayId=58518094,unknown,15,40,80,165,52,140
86,austria,mayrhofen,hotel-strolz,815,800,630,600,52,8,27,17,43.0,75.0,15.0,133.0,https://www.igluski.com/ski-resorts/austria/mayrhofen/hotel-strolz_1392?holidayId=58541910,90,0,60,5,80,2,99
87,italy,pila,hotel-lion-noir,818,unknown,1800,70,12,2,9,1,5.0,22.0,3.0,30.0,https://www.igluski.com/ski-resorts/italy/pila/hotel-lion-noir_6346?holidayId=58440648,unknown,65,150,65,150,65,150
88,austria,st-johann-in-tirol,hotel-fischer,819,unknown,700,60,17,3,4,10,4.0,23.0,2.0,29.0,https://www.igluski.com/ski-resorts/austria/st-johann-in-tirol/hotel-fischer_1100?holidayId=59106929,70,0,0,40,96,44,97
89,france,brides-les-bains,hotel-amelie,819,unknown,600,600,198,43,68,87,46.0,209.0,35.0,290.0,https://www.igluski.com/ski-resorts/france/brides-les-bains/hotel-amelie_2115?holidayId=58513914,58,98,121,215,267,207,269
90,italy,sauze-d-oulx,hotel-relais-des-alpes,819,300,1503,400,89,0,35,54,31.0,97.0,32.0,160.0,https://www.igluski.com/ski-resorts/italy/sauze-d-oulx/hotel-relais-des-alpes_41547?holidayId=58486557,180,150,220,35,300,96,280
91,italy,courmayeur,hotel-centrale,820,unknown,1224,100,16,5,8,3,6.0,12.0,4.0,22.0,https://www.igluski.com/ski-resorts/italy/courmayeur/hotel-centrale_32211?holidayId=58451718,unknown,40,100,40,100,41,117
92,italy,canazei,al-sole-hotel--residence,821,360,1460,120,58,9,28,21,30.0,41.0,3.0,74.0,https://www.igluski.com/ski-resorts/italy/canazei/al-sole-hotel--residence_42108?holidayId=58540635,100,50,160,50,120,50,120
93,italy,passo-tonale,hotel-adamello,826,unknown,1883,100,30,3,19,8,11.0,15.0,4.0,30.0,https://www.igluski.com/ski-resorts/italy/passo-tonale/hotel-adamello_15406?holidayId=58538340,86,30,400,30,400,30,400
94,austria,niederau-oberau,hotel-hannes,827,300,826,48,47,7,8,31,24.0,34.0,11.0,69.0,https://www.igluski.com/ski-resorts/austria/niederau-oberau/hotel-hannes_6937?holidayId=58500617,unknown,0,0,50,106,48,114
95,austria,st-johann-in-tirol,hotel-park,829,unknown,700,60,17,3,4,10,4.0,23.0,2.0,29.0,https://www.igluski.com/ski-resorts/austria/st-johann-in-tirol/hotel-park_1300?holidayId=58520945,100,0,0,40,96,44,97
96,italy,canazei,hotel-il-caminetto,832,1000,1460,120,58,9,28,21,30.0,41.0,3.0,74.0,https://www.igluski.com/ski-resorts/italy/canazei/hotel-il-caminetto_32382?holidayId=58498271,unknown,50,160,50,120,50,120
97,italy,bardonecchia,hotel-rive,832,200,1312,140,23,0,9,14,17.0,24.0,1.0,42.0,https://www.igluski.com/ski-resorts/italy/bardonecchia/hotel-rive_20497?holidayId=58476448,150,70,170,60,200,47,177
98,austria,niederau-oberau,hotel-sonnschein,834,1000,826,48,47,7,8,31,24.0,34.0,11.0,69.0,https://www.igluski.com/ski-resorts/austria/niederau-oberau/hotel-sonnschein_2109?holidayId=58532836,284,0,0,50,106,48,114
99,italy,selva-val-gardena,hotel-alpino-plan,834,unknown,1563,175,81,9,41,31,32.0,23.0,4.0,59.0,https://www.igluski.com/ski-resorts/italy/selva-val-gardena/hotel-alpino-plan_3627?holidayId=58495641,70,72,165,50,150,49,149
100,italy,sauze-d-oulx,hotel-biancaneve,838,unknown,1503,400,89,0,35,54,31.0,97.0,32.0,160.0,https://www.igluski.com/ski-resorts/italy/sauze-d-oulx/hotel-biancaneve_2539?holidayId=58410858,32,150,220,35,300,96,280
101,italy,passo-tonale,hotel-paradiso,839,unknown,1883,100,30,3,19,8,11.0,15.0,4.0,30.0,https://www.igluski.com/ski-resorts/italy/passo-tonale/hotel-paradiso_18878?holidayId=59385013,240,30,400,30,400,30,400
102,andorra,pas-de-la-casa,magic-hotel,839,200,2050,193,63,4,28,26,40.0,37.0,23.0,100.0,https://www.igluski.com/ski-resorts/andorra/pas-de-la-casa/magic-hotel_19624?holidayId=58528496,194,15,40,80,165,52,140
103,italy,cervinia,hotel-mon-reve,840,unknown,2050,350,56,21,21,12,30.0,75.0,26.0,131.0,https://www.igluski.com/ski-resorts/italy/cervinia/hotel-mon-reve_30843?holidayId=58478297,50,27,106,64,147,55,208
104,austria,schladming,hotel-kirchenwirt,843,unknown,745,175,93,8,23,62,22.0,44.0,8.0,74.0,https://www.igluski.com/ski-resorts/austria/schladming/hotel-kirchenwirt_6330?holidayId=58505672,30,0,50,70,110,67,118
105,austria,bad-gastein,hotel-alpenblick,847,500,1080,250,49,11,19,18,16.0,38.0,6.0,60.0,https://www.igluski.com/ski-resorts/austria/bad-gastein/hotel-alpenblick_32401?holidayId=58539653,76,0,100,48,155,45,176
106,finland,saariselka,tunturi-hotel-suites,849,unknown,180,20,5,0,1,4,3.0,7.0,2.0,12.0,https://www.igluski.com/ski-resorts/finland/saariselka/tunturi-hotel-suites_34984?holidayId=51746245,unknown,unknown,unknown,unknown,unknown,unknown,unknown
107,austria,alpbach,hotel-alphof,852,unknown,1000,145,47,7,8,31,24.0,34.0,11.0,69.0,https://www.igluski.com/ski-resorts/austria/alpbach/hotel-alphof_37880?holidayId=58486558,unknown,0,0,50,106,48,114
108,italy,sestriere,hotel-gran-roc,852,1000,2035,400,94,5,35,54,43.0,73.0,30.0,146.0,https://www.igluski.com/ski-resorts/italy/sestriere/hotel-gran-roc_39152?holidayId=58476396,unknown,150,220,35,300,96,280
109,italy,passo-tonale,delle-alpi-hotel,854,unknown,1883,100,30,3,19,8,11.0,15.0,4.0,30.0,https://www.igluski.com/ski-resorts/italy/passo-tonale/delle-alpi-hotel_4102?holidayId=58387390,70,30,400,30,400,30,400
110,austria,mayrhofen,alpin-hotel-garni-eder,855,300,630,600,52,8,27,17,43.0,75.0,15.0,133.0,https://www.igluski.com/ski-resorts/austria/mayrhofen/alpin-hotel-garni-eder_32262?holidayId=58518413,unknown,0,60,5,80,2,99
111,austria,zell-am-see,seehotel--seevilla-freiberg,855,unknown,758,136,55,13,18,24,31.0,19.0,9.0,59.0,https://www.igluski.com/ski-resorts/austria/zell-am-see/seehotel--seevilla-freiberg_1325?holidayId=58488847,80,0,58,43,147,46,150
112,italy,canazei,hotel-diana,855,unknown,1460,120,58,9,28,21,30.0,41.0,3.0,74.0,https://www.igluski.com/ski-resorts/italy/canazei/hotel-diana_42103?holidayId=58525928,100,50,160,50,120,50,120
113,austria,igls,bon-alpina-hotel,856,unknown,870,12,8,1,3,4,2.0,3.0,0.0,5.0,https://www.igluski.com/ski-resorts/austria/igls/bon-alpina-hotel_3378?holidayId=58332813,194,0,0,45,106,49,124
114,austria,alpbach,haus-andreas--rostall,856,unknown,1000,145,47,7,8,31,24.0,34.0,11.0,69.0,https://www.igluski.com/ski-resorts/austria/alpbach/haus-andreas--rostall_37878?holidayId=58518855,unknown,0,0,50,106,48,114
115,andorra,pas-de-la-casa,font-d-argent,858,45,2050,193,63,4,28,26,40.0,37.0,23.0,100.0,https://www.igluski.com/ski-resorts/andorra/pas-de-la-casa/font-d-argent_7183?holidayId=58477146,150,15,40,80,165,52,140
